河南,18.72
湖南,11.47
安徽,7.48
江西,6.99
广东,6.39
江苏,4.81
重庆,4.19
四川,4.09
山东,3.63
浙江,3.53
河北,3.07
福建,3
北京,2.74
广西,2.6
陕西,2.37
上海,2.18
山西,1.94
贵州,1.81
云南,1.75
海南,1.25
甘肃,1.15
辽宁,1.09
黑龙江,0.92
新疆,0.66
内蒙古,0.59
吉林,0.56
天津,0.49
宁夏,0.26
青海,0.2
西藏,0.07
香港,0
澳门,0
台湾,0
